AP,AT,PE,RH,V
1012.94,13.92,471.81,80.52,39.39
1010.23,23.04,442.99,68.99,59.43
1014.65,27.31,442.77,57.27,64.44
1010.18,5.91,491.49,95.53,39.33
1013.68,25.26,447.46,71.72,61.08
1002.25,27.97,446.11,57.88,58.84
1007.03,26.08,442.44,63.34,52.3
1013.61,29.01,446.22,48.07,65.71
1016.67,12.18,471.49,91.87,40.1
1008.89,13.76,463.5,87.27,45.87
1016.02,25.5,440.01,64.4,58.79
1014.56,28.26,441.03,43.4,65.34
1019.49,21.39,452.68,72.24,62.96
1020.43,7.26,474.91,90.22,40.69
1018.71,10.54,478.77,74.0,34.03
998.14,27.71,434.2,71.85,74.34
1017.83,23.11,437.91,86.62,68.3
1024.61,7.51,477.61,97.41,41.01
1016.65,26.46,431.65,84.44,74.67
998.58,29.34,430.57,81.55,74.34
1008.82,10.32,481.09,75.66,42.28
1009.56,22.74,445.56,79.41,61.02
1012.71,13.48,475.74,58.91,39.85
1010.36,25.52,435.12,90.06,69.75
1017.39,21.58,446.15,79.0,67.25
1001.31,27.66,436.64,69.47,76.86
1013.89,26.96,436.69,51.47,69.45
1016.53,12.29,468.75,83.13,42.18
1012.18,15.86,466.6,40.33,43.02
1024.42,13.87,465.48,81.69,45.08
1014.93,24.09,441.34,94.55,73.68
1012.53,20.45,441.83,91.81,69.45
1019.0,15.07,464.7,63.62,39.3
1009.6,32.72,437.99,49.35,69.75
1015.55,18.23,459.12,69.61,58.96
1006.56,35.56,429.69,38.75,68.94
1010.57,18.36,459.8,90.17,51.43
1009.81,26.35,433.63,81.24,64.05
1014.62,25.92,442.84,48.46,60.95
1014.49,8.01,485.13,76.72,41.66
1025.09,19.63,459.12,51.16,52.72
1012.05,20.02,445.31,76.34,67.32
1022.7,10.08,480.8,67.3,40.72
1005.23,27.23,432.55,52.38,66.48
1013.42,23.37,443.86,76.44,63.77
1018.3,18.74,449.77,91.55,59.21
1017.19,14.81,470.71,71.9,43.69
1011.93,23.1,452.17,80.05,51.3
1021.6,10.72,478.29,63.77,41.38
1006.96,29.46,428.54,62.26,71.94
1020.66,8.1,478.27,89.04,40.64
1007.63,27.29,439.58,58.02,62.66
1005.53,17.1,457.32,81.82,49.69
1018.79,11.49,475.51,91.14,44.2
1010.85,23.69,439.66,88.92,65.59
1011.03,13.51,471.99,84.83,40.89
1015.1,9.64,479.81,91.76,39.35
1010.83,25.65,434.78,86.56,78.92
1011.18,21.59,446.58,57.21,61.87
1013.92,27.98,437.76,54.25,58.33
1001.24,18.8,459.36,63.8,39.72
1016.99,18.28,462.28,33.71,44.71
1016.08,13.55,464.33,67.25,43.48
1010.71,22.99,444.36,60.11,46.21
1014.32,23.94,438.64,74.55,59.39
1018.69,13.74,470.49,67.34,34.03
1001.86,21.3,455.13,42.75,41.1
1017.06,27.54,450.22,55.2,66.93
1009.34,24.81,440.43,83.61,63.73
1014.02,4.97,482.98,88.78,42.85
1014.19,15.22,460.44,100.12,50.88
1012.81,23.88,444.97,64.52,54.2
1005.2,33.01,433.94,51.41,68.67
1012.28,25.98,439.73,85.78,73.18
1005.89,28.18,434.48,75.41,73.88
1017.93,21.67,442.33,81.63,60.84
1014.26,17.67,457.67,51.92,45.09
1018.8,21.37,454.66,70.12,57.76
1017.71,28.69,432.21,53.83,67.25
1012.25,16.61,457.66,77.23,43.77
1010.27,27.91,435.21,65.67,63.76
1007.64,20.97,448.22,71.18,47.43
1013.79,10.8,475.51,81.96,41.66
1013.24,20.61,446.53,79.54,62.91
1011.7,25.45,441.3,47.09,57.32
1007.67,30.16,433.54,57.69,69.34
1020.45,4.99,472.52,78.89,39.04
1012.59,10.51,474.77,85.29,44.78
1001.62,33.79,435.1,40.13,69.05
1016.92,21.34,450.74,77.06,59.8
1014.32,23.4,442.7,67.38,65.06
1003.34,32.21,426.56,62.44,68.14
1016.0,14.26,463.71,77.43,42.32
1016.85,27.71,447.06,58.77,66.93
1018.02,21.95,452.27,67.72,57.76
1018.49,25.76,445.78,42.14,63.94
1017.93,23.68,438.65,84.16,68.3
1011.55,8.28,480.15,89.79,40.77
1016.46,23.44,447.19,67.21,62.52
1008.47,25.32,443.04,72.14,48.41
1008.06,3.94,488.81,97.49,39.9
1016.26,17.3,455.75,87.74,57.76
1018.83,18.2,455.86,96.3,49.39
1013.94,21.43,457.68,61.25,46.97
1014.95,11.16,479.11,88.38,40.05
1007.44,30.38,432.84,74.77,74.16
1016.18,23.36,448.37,68.18,62.52
1007.56,21.69,447.06,77.2,47.45
1014.1,23.62,443.53,49.54,49.21
1011.13,21.87,445.21,92.22,61.45
1015.53,29.25,441.7,33.65,66.51
1013.05,20.03,450.93,64.59,66.86
1002.95,18.14,451.44,100.09,49.78
1012.32,24.23,441.29,68.04,56.89
1014.48,18.11,458.85,48.94,44.85
1018.24,6.57,481.46,74.47,43.65
1016.93,12.56,467.19,81.02,43.41
1020.5,13.4,461.54,71.17,41.58
1006.28,27.1,439.08,53.85,52.84
1028.79,14.28,467.22,70.67,42.74
1019.49,16.29,468.8,59.36,44.34
1004.66,31.24,426.93,57.17,71.98
1024.36,10.57,474.65,70.29,37.73
1022.93,13.8,468.97,83.37,44.21
1010.18,25.3,433.97,87.36,71.58
1009.52,18.06,450.53,100.09,50.16
1011.98,25.42,444.51,68.78,59.04
1015.29,15.07,469.03,70.98,40.69
1019.36,11.75,466.56,75.68,71.14
1012.15,20.23,457.57,47.49,52.05
1006.24,27.31,440.13,71.99,59.54
1003.57,28.57,433.24,66.55,69.84
1008.64,17.9,452.55,74.73,43.72
1002.04,23.83,443.29,64.78,71.37
1005.47,27.92,431.76,75.13,74.99
1007.81,17.34,454.97,56.38,44.78
1012.42,17.94,456.7,94.35,63.07
1007.75,6.4,486.03,86.55,39.9
1011.37,11.78,472.79,82.95,39.96
1010.12,20.28,452.03,88.42,57.25
1012.26,21.04,443.41,85.61,54.2
1014.49,25.11,441.93,58.39,67.32
1007.51,30.28,432.64,74.28,70.98
1013.15,8.14,480.25,87.85,36.24
1004.47,16.86,466.68,83.5,39.63
1020.19,6.25,494.39,65.24,40.07
1012.46,22.35,454.72,75.01,54.42
1012.28,17.98,448.71,84.52,56.85
1013.43,21.19,469.76,80.52,42.48
1009.64,20.94,450.71,75.14,44.89
1009.8,24.23,444.01,75.75,58.79
1017.46,19.18,453.2,76.72,58.2
1012.39,20.88,450.87,85.47,57.85
1019.67,23.67,441.73,57.95,63.86
1018.41,14.12,465.09,78.32,39.52
1020.59,25.23,447.28,52.2,64.63
1011.54,6.54,491.16,93.69,39.33
1017.99,20.08,450.98,75.74,62.52
1013.75,24.67,446.3,67.56,63.56
1008.37,27.82,436.48,69.46,79.74
1017.41,15.55,460.84,74.58,42.03
1013.43,24.26,442.56,53.23,69.51
1020.19,13.45,467.3,88.72,41.49
1021.47,11.06,479.13,96.16,40.64
1008.72,24.91,441.15,68.26,52.3
1011.78,22.39,445.52,86.39,59.04
1015.62,11.95,475.4,85.34,40.69
1014.91,14.85,469.3,72.64,40.69
1017.17,10.11,463.57,97.82,41.62
1006.71,23.67,445.32,77.22,68.67
1020.36,16.14,461.03,80.59,44.21
1014.99,15.11,466.74,46.91,43.13
1018.47,24.14,444.04,57.76,59.87
1017.6,30.08,434.01,53.09,67.25
1020.5,14.77,465.23,84.31,44.9
1009.63,27.6,440.6,71.58,69.34
1023.66,13.89,466.74,92.97,44.84
1017.43,26.85,433.48,74.55,75.6
1023.36,12.41,473.59,78.96,40.96
1020.75,13.08,474.81,64.44,41.74
1017.58,18.93,454.75,68.23,44.06
1009.6,20.5,452.94,70.81,49.69
1009.94,30.72,435.83,61.66,69.13
1014.53,7.55,482.19,77.76,39.22
1030.46,13.49,466.66,69.49,44.47
1013.03,15.62,462.59,96.26,40.12
1020.69,24.8,447.82,55.74,64.63
1014.55,10.03,462.73,95.61,41.62
1012.06,22.43,447.98,84.75,63.21
1009.15,14.95,462.72,75.3,39.31
1016.82,24.78,442.42,67.5,58.46
1008.64,23.2,444.69,80.92,48.41
1016.73,14.01,466.7,79.23,39.0
1020.38,19.4,453.84,81.1,64.63
1013.83,30.15,436.92,32.8,67.32
1021.82,6.91,486.37,84.31,36.08
1015.42,29.04,440.43,46.15,60.07
1010.94,26.02,446.82,53.96,63.07
1005.11,5.89,484.91,59.83,39.48
1008.27,26.52,437.76,75.3,71.64
1013.27,28.53,438.91,42.53,68.08
1007.97,16.59,464.19,70.58,39.54
1009.89,22.95,442.19,91.69,67.79
1008.38,23.96,446.86,63.55,47.43
1018.89,17.48,457.15,61.51,44.2
1020.14,6.69,482.57,69.55,43.65
1007.44,10.25,476.03,98.08,41.26
1008.69,28.87,428.89,79.34,72.58
1018.07,12.04,472.7,81.28,40.23
1009.04,22.58,445.6,78.99,52.3
1014.63,15.12,464.78,80.38,52.05
1017.02,25.48,440.42,51.16,58.95
1003.96,27.87,428.41,72.17,70.79
1010.65,23.72,438.5,75.39,70.47
1007.84,25.0,438.28,68.91,59.43
1022.35,8.42,476.29,96.38,40.64
1011.5,22.46,448.46,70.54,58.49
1008.62,29.92,438.99,45.8,57.19
1017.9,11.68,471.8,57.95,39.22
1012.74,14.04,471.81,81.89,42.44
1016.12,19.86,449.82,69.32,59.14
1013.13,25.99,442.14,59.14,68.08
1009.74,23.42,441.46,81.54,58.79
1011.37,10.6,477.62,85.81,40.22
1011.45,20.97,446.76,65.41,61.87
1012.46,14.14,472.52,81.15,39.82
1021.27,8.56,471.58,95.87,40.71
1001.15,24.86,440.85,90.24,72.39
1011.33,29.0,431.37,75.13,77.54
1008.64,27.59,437.33,88.22,71.97
1015.68,10.45,469.22,81.48,40.71
1023.51,8.51,471.11,89.84,40.78
1010.98,29.82,439.17,43.57,66.51
1012.11,22.56,445.33,63.16,62.26
1018.62,11.38,473.71,57.14,39.22
1016.28,20.25,452.66,77.76,57.76
1007.12,22.42,440.99,90.56,59.43
1014.48,14.85,467.42,60.98,38.91
1010.02,25.62,444.14,70.31,58.82
1020.57,19.85,457.17,74.05,56.53
1015.92,13.67,467.87,75.42,54.3
1009.78,24.39,442.04,82.25,70.72
1019.52,16.07,471.36,67.95,44.58
1009.81,11.6,460.7,100.09,39.1
1010.35,31.38,431.33,47.28,70.83
998.59,29.91,432.6,72.41,76.86
1014.07,19.67,447.61,77.67,59.39
1016.27,27.18,443.87,63.7,64.79
1009.2,21.39,446.87,79.77,52.3
1020.57,10.45,465.74,93.84,41.01
1014.02,19.46,447.86,84.95,56.89
1020.16,23.55,447.65,70.16,62.96
1011.78,23.35,437.87,84.24,63.47
1016.87,9.26,483.51,73.32,41.66
1018.21,10.3,479.65,86.17,41.46
1016.88,20.94,455.16,65.43,58.16
1002.49,23.13,431.91,94.59,71.25
1014.13,12.77,470.68,86.8,41.5
1009.29,28.29,429.28,58.18,69.13
1018.32,19.13,450.81,89.66,59.21
1011.49,24.44,437.73,87.39,73.5
1015.16,20.32,460.21,36.35,44.6
1001.6,20.54,442.86,79.62,69.05
1021.51,12.16,482.99,50.52,45.0
1013.27,28.09,440.0,51.96,65.27
1033.25,9.25,478.48,74.73,41.82
1015.01,21.75,455.28,78.33,49.82
1002.07,23.7,436.94,85.19,66.56
1022.36,16.22,461.06,83.13,37.87
1013.97,24.75,438.28,53.49,69.45
1011.81,10.48,472.61,88.86,39.58
1003.7,29.53,426.85,60.89,70.79
1017.76,12.59,470.18,61.14,39.72
1012.31,23.5,455.38,68.29,54.42
1006.44,29.01,428.32,57.62,66.56
1010.57,9.75,480.35,83.63,42.49
1020.2,19.55,455.56,78.1,56.53
1013.14,21.05,447.66,66.34,58.33
1006.74,24.72,443.06,79.02,68.67
1014.19,21.19,452.43,68.96,58.86
1019.94,10.77,477.81,71.13,41.54
1004.72,28.68,431.66,87.01,73.77
1004.53,29.87,431.8,74.3,73.91
1006.65,22.99,446.67,77.62,68.67
1018.0,24.66,445.26,59.56,60.29
1013.85,32.63,425.72,41.66,69.89
1008.73,31.38,430.58,73.27,72.29
1018.94,23.87,439.86,77.16,60.27
1013.31,25.6,441.11,67.02,59.15
1011.6,27.62,434.72,52.8,71.14
1014.23,30.1,434.01,39.04,67.45
1019.43,12.19,475.64,65.47,41.17
1020.43,13.11,460.44,74.32,41.58
1005.46,28.29,436.4,69.22,68.67
1018.7,13.45,461.03,93.88,40.73
1019.94,10.98,479.08,69.83,41.54
1009.31,26.48,435.76,84.11,69.14
1015.22,13.07,460.14,78.65,45.51
1017.37,25.56,442.2,69.31,75.6
1008.83,22.68,447.69,70.3,50.78
1006.65,28.86,431.15,68.23,73.67
1014.32,22.7,445.0,71.76,63.56
1001.32,27.89,431.59,85.88,73.21
1027.94,13.78,467.22,71.09,44.47
1012.16,28.14,445.33,52.67,51.43
1013.21,11.8,470.57,89.68,45.09
1018.72,10.71,473.77,73.66,39.61
1017.42,24.54,447.67,58.94,60.29
1014.78,11.54,474.29,87.05,40.05
1008.07,29.47,437.14,67.0,71.32
1003.12,29.24,432.56,43.18,69.05
1009.72,14.51,459.14,80.62,41.79
1016.03,22.91,446.19,59.72,60.07
1006.38,27.02,428.1,72.1,71.77
1030.18,13.49,468.46,69.15,44.47
1017.95,30.24,435.02,55.66,66.75
1002.38,23.19,445.52,61.19,48.6
1003.36,17.73,462.69,74.62,40.55
1019.26,18.62,455.75,73.35,61.27
1015.89,12.85,463.74,68.85,40.0
1011.95,32.33,439.79,39.89,69.68
1016.99,25.09,443.26,53.16,58.95
1009.3,29.45,432.04,52.97,69.13
1013.32,16.91,465.86,79.87,43.96
1009.05,14.09,465.6,84.09,45.87
1009.35,10.73,469.43,100.15,25.36
1003.4,23.2,440.75,79.77,49.3
1015.82,8.21,481.32,88.99,38.91
1022.64,9.3,479.87,76.14,40.56
1005.7,16.97,458.59,69.13,39.16
1009.62,23.69,438.62,93.03,71.97
1012.38,25.13,445.59,77.92,59.44
1015.13,9.86,481.87,74.89,43.56
1013.58,11.33,475.01,88.7,41.5
1008.53,26.95,436.54,62.94,48.41
1016.28,15.0,456.63,89.62,40.66
1015.63,20.76,451.69,81.04,62.52
1010.93,14.29,463.04,94.53,39.59
1007.68,19.74,446.1,64.02,67.71
1009.94,26.68,438.67,70.57,59.92
1019.7,14.24,466.88,70.32,41.4
1008.42,21.98,444.6,84.86,48.41
1015.4,22.75,440.26,81.41,59.39
1023.28,8.34,483.92,89.45,40.96
1017.18,11.8,475.19,82.71,41.2
1023.06,8.81,479.24,93.93,44.68
1014.95,30.05,434.92,70.6,73.68
1014.0,16.01,454.16,87.68,65.46
1012.42,21.75,447.58,87.58,58.79
1021.67,13.94,467.9,74.4,41.26
1010.27,29.25,426.29,67.35,69.13
1007.8,22.33,447.02,63.61,45.87
1005.47,16.43,455.85,76.89,41.79
1010.31,11.5,476.46,78.08,40.22
1007.53,23.53,437.48,69.17,68.94
1014.61,21.86,452.77,53.31,49.21
1012.57,6.17,491.54,93.32,39.33
1017.22,30.19,438.41,42.47,64.79
1019.81,11.67,476.1,82.58,41.93
1007.87,15.34,464.58,94.59,36.99
1023.91,11.5,467.74,86.31,40.78
1010.0,25.53,442.12,72.57,57.17
1014.53,21.27,453.34,80.76,57.5
1010.44,28.37,425.29,71.93,69.13
1011.74,28.39,449.63,47.54,51.43
1025.27,13.78,462.88,95.72,45.78
1015.71,14.6,464.67,77.03,42.32
1027.17,5.1,489.96,80.49,35.57
1020.27,7.0,482.38,77.67,38.08
1009.45,26.3,437.95,78.72,77.95
1004.74,30.56,429.2,58.77,71.98
1013.03,21.09,453.34,74.8,46.63
1010.58,28.21,442.47,51.34,70.02
1015.14,15.84,462.6,90.41,49.69
1024.57,10.03,478.79,91.1,40.96
1012.34,20.37,456.11,62.57,52.05
1005.81,21.19,450.33,84.27,50.16
1007.21,33.73,434.83,42.93,69.88
1015.1,29.87,433.43,40.96,73.68
1020.76,19.62,456.02,76.53,62.96
1018.08,9.93,485.23,69.74,40.67
1013.03,9.43,473.57,74.99,37.14
1011.17,14.24,469.94,70.45,39.58
1008.69,12.97,452.07,91.49,49.83
1021.82,7.6,475.32,88.97,41.04
1013.39,8.39,480.69,89.13,36.24
1013.12,25.41,444.01,46.52,48.06
1020.41,18.43,465.17,60.55,56.03
1012.87,10.31,480.61,88.71,39.82
1013.39,11.29,476.04,89.15,41.5
1003.51,22.61,441.76,83.02,49.3
1005.19,29.34,428.24,75.19,71.98
1004.0,18.87,444.77,87.35,67.71
1008.58,13.21,463.1,85.66,45.87
1018.19,11.3,470.5,91.66,44.6
1007.04,29.23,431.0,63.47,72.99
1004.27,27.76,430.68,72.25,69.4
1006.6,29.26,436.42,70.58,67.17
1016.19,25.72,452.33,60.1,49.82
1010.64,23.43,440.16,89.29,63.94
1010.18,25.6,435.75,67.43,63.76
1008.48,22.3,449.74,67.58,44.57
1010.74,27.91,430.73,70.8,72.24
1009.55,30.35,432.75,63.62,77.17
1007.88,21.78,446.79,66.68,47.43
1018.12,7.19,486.35,90.76,41.39
1015.66,20.88,453.18,75.34,59.8
1015.73,24.19,458.31,59.77,50.23
1019.7,9.98,480.26,80.79,41.54
1011.89,23.47,448.65,74.1,51.3
1012.67,26.35,458.41,41.34,49.5
1006.37,29.89,435.39,58.78,64.69
1010.49,19.29,450.21,97.78,50.16
1018.68,17.48,459.59,74.85,43.14
1017.19,25.21,445.84,69.84,75.6
1018.17,23.3,441.08,75.36,48.78
1009.89,15.42,467.33,85.8,37.85
1016.56,21.44,444.19,90.11,63.09
1007.96,29.45,432.96,61.63,68.27
1002.85,29.69,438.09,44.76,47.93
1006.86,15.52,467.9,89.7,36.99
1012.68,11.47,475.72,72.51,43.67
1027.72,9.77,477.51,74.98,34.69
1006.37,22.6,435.13,79.59,69.84
1017.99,8.24,477.9,78.42,39.61
1019.18,17.01,457.26,61.23,44.2
1015.88,19.64,467.53,47.56,44.6
1021.08,10.61,465.15,93.06,41.58
1014.42,12.04,474.28,89.65,40.1
1013.85,29.19,444.49,50.5,65.71
1014.15,21.75,452.84,44.84,45.09
1008.5,23.66,435.38,85.32,77.54
1003.88,27.05,433.57,82.94,75.33
1009.04,29.63,435.27,67.26,69.71
1005.35,18.2,468.49,79.05,39.63
1009.9,32.22,433.07,62.03,70.8
1004.85,26.88,430.63,94.36,73.56
1013.29,29.05,440.74,60.02,65.74
1026.31,8.9,474.49,95.46,39.96
1005.72,18.93,449.74,84.92,48.6
1010.09,27.49,436.73,62.8,63.76
1006.53,23.1,434.58,90.81,70.79
1017.24,11.22,473.93,80.9,43.13
1007.03,31.97,435.99,55.84,79.74
1009.45,13.32,466.83,75.3,43.22
1005.29,31.68,427.22,37.34,68.24
1013.39,23.69,444.07,79.5,63.77
1020.11,13.83,469.57,87.29,41.49
1015.18,18.32,459.89,81.5,66.51
1024.91,11.05,479.59,76.42,40.71
1007.21,22.03,440.92,75.75,64.69
1020.45,10.23,480.87,84.95,41.46
1009.93,23.92,441.9,62.37,66.54
1011.35,29.38,430.2,49.25,69.68
1014.62,17.35,465.16,74.16,42.86
1021.19,9.81,471.32,90.55,44.45
1020.91,4.97,485.43,94.28,40.64
1012.27,5.15,495.35,63.31,40.07
1010.85,21.54,449.12,78.9,58.49
1006.22,7.94,480.53,90.97,42.02
1014.89,18.77,457.07,87.34,50.66
1010.7,21.69,443.67,80.8,69.94
1023.44,10.07,477.52,90.95,44.68
1012.52,13.83,472.95,69.97,39.64
1003.92,10.45,472.54,89.45,39.69
1015.85,11.56,469.17,76.08,40.71
1011.09,23.64,435.21,83.35,70.04
1004.81,10.48,477.78,92.16,40.22
1012.86,13.09,475.89,58.42,39.85
1017.75,10.67,483.9,85.06,40.23
1016.53,12.57,476.2,88.91,39.16
1015.47,14.45,462.16,83.33,43.34
1011.24,14.22,471.05,88.49,37.85
1010.6,6.97,484.71,96.88,41.26
1015.43,20.61,446.34,73.86,63.86
1007.21,14.67,469.02,65.17,42.28
1004.23,29.06,432.12,69.41,72.86
1015.51,14.38,467.28,81.23,40.1
1013.29,32.51,429.66,54.07,69.98
1013.16,11.79,469.49,89.17,45.09
1023.23,8.65,485.87,78.85,40.56
1026.0,9.75,481.95,84.44,40.81
1031.1,9.11,479.03,83.02,40.02
1010.99,23.39,434.5,90.66,69.13
1015.16,14.3,464.9,75.29,54.3
1020.02,17.49,452.71,82.6,63.94
1010.84,31.1,429.74,45.4,69.51
1020.67,19.77,457.09,66.33,56.65
1011.61,28.61,446.77,45.33,72.29
1014.46,13.52,460.76,67.12,41.48
1008.31,13.52,471.95,84.14,40.83
1014.09,17.57,453.29,80.81,46.21
1016.34,28.18,441.61,49.13,60.07
1017.01,14.29,464.73,87.29,46.18
1016.91,18.12,464.68,52.95,43.69
1003.72,31.27,430.59,68.92,73.91
1014.19,26.24,438.01,85.21,77.95
1021.84,7.44,479.08,88.56,41.04
1009.28,29.78,436.39,55.09,74.78
1016.25,23.37,447.07,48.64,65.46
1011.9,10.62,479.91,87.85,39.58
1013.88,5.84,489.05,87.42,43.02
1016.46,14.51,463.17,62.75,53.82
1001.18,11.31,471.26,94.86,42.02
1011.64,11.25,480.49,63.54,40.67
1025.41,9.18,473.78,69.46,39.42
1016.76,19.82,455.5,74.66,58.16
1013.78,24.77,446.27,80.57,58.41
1021.21,9.66,482.2,84.7,41.06
1016.72,21.96,452.48,72.6,59.8
1011.92,18.59,464.48,52.63,43.14
1015.29,24.75,438.1,82.01,69.89
1012.77,24.37,445.6,75.22,63.47
1010.37,29.6,442.43,51.05,67.79
1011.56,25.32,436.67,80.1,61.25
1016.54,16.15,466.56,81.58,41.85
1019.65,15.74,457.29,65.94,71.14
1029.65,5.97,487.03,86.74,36.25
1026.45,15.84,464.93,62.57,52.72
1019.28,14.84,466.0,57.37,44.63
1017.44,12.25,469.52,88.91,48.79
1011.18,27.38,428.88,72.26,70.04
1018.49,8.76,474.3,74.98,41.48
1009.69,15.54,461.06,71.19,39.31
1014.09,18.71,465.57,62.82,39.39
1012.3,13.06,467.67,55.31,41.78
1016.02,12.72,466.99,71.57,40.71
1013.73,19.83,463.72,59.16,39.39
1004.03,27.23,443.78,40.8,49.16
1005.43,24.27,445.23,67.63,68.28
1017.13,11.8,464.43,97.2,40.66
1028.31,6.76,484.36,91.16,36.25
1012.5,25.99,442.16,64.81,63.07
1004.64,16.3,464.11,85.61,39.63
1018.35,16.5,462.48,93.42,49.39
1009.59,10.59,477.49,77.36,42.49
1012.78,26.05,437.04,67.03,65.59
1003.8,19.5,457.09,89.45,40.79
1012.22,22.21,450.6,54.84,45.01
1023.25,17.86,465.78,53.48,45.0
1010.15,29.96,427.1,54.47,70.04
1020.14,19.08,459.81,43.36,44.63
1006.64,23.59,447.36,48.92,47.43
1011.0,3.38,488.92,81.22,39.64
1012.96,26.39,433.36,60.35,66.49
1021.99,8.99,483.35,75.98,39.04
1026.57,10.91,469.53,74.24,41.04
1012.27,13.08,476.96,85.21,39.82
1017.5,23.95,440.75,68.46,58.46
1024.51,15.64,462.55,78.31,43.71
1012.05,18.78,448.04,89.25,54.2
1016.22,20.65,455.24,68.57,50.59
1011.8,4.96,494.75,67.38,40.07
1012.55,23.51,444.58,53.6,57.32
1011.56,5.99,484.82,91.69,35.79
1019.6,23.65,442.9,78.21,66.05
1009.68,5.17,485.46,94.19,39.33
1012.82,26.38,457.81,37.19,49.5
1013.85,6.02,481.92,83.53,43.65
1009.63,23.2,443.23,79.45,61.02
1000.91,8.57,474.29,99.9,39.69
1009.98,30.72,430.46,50.39,71.58
1013.56,21.52,455.71,74.33,50.66
1011.25,22.93,438.34,83.66,62.26
1003.24,5.71,485.83,89.48,41.31
1017.76,18.62,452.82,64.59,44.06
1007.68,27.88,435.04,75.68,68.94
1016.82,22.32,451.21,64.18,59.8
1028.41,14.55,465.81,70.09,42.74
1025.04,17.83,458.42,70.58,44.92
1026.09,9.68,470.22,99.28,39.96
1020.84,19.41,449.24,81.89,49.39
1023.84,13.22,471.43,87.99,44.92
1023.74,12.24,473.26,88.21,44.92
1011.7,19.21,452.82,91.29,58.49
1008.1,29.74,432.69,52.72,70.32
1017.91,23.28,444.13,67.5,60.84
1029.8,8.02,467.21,92.05,41.92
1002.33,22.47,445.98,63.23,48.6
1002.42,27.51,436.91,90.88,73.77
1009.05,17.51,455.01,74.91,44.9
1002.47,23.22,437.11,85.39,66.56
1020.68,11.73,477.06,96.98,40.64
1006.65,21.19,441.71,56.28,67.71
1019.63,5.48,495.76,65.62,40.07
1011.33,24.26,445.63,55.32,66.44
1012.88,12.32,464.72,88.88,41.62
1005.94,31.26,438.03,39.49,68.94
1003.47,32.09,434.78,54.59,72.86
1015.63,24.98,444.67,57.19,60.32
1012.2,27.48,452.24,45.06,61.41
1014.19,21.04,450.92,40.62,45.09
1006.65,27.75,436.53,90.21,70.4
1005.75,22.79,435.53,90.91,71.77
1013.23,24.22,440.01,74.96,68.51
1008.72,27.06,443.1,54.21,64.45
1007.18,29.25,427.49,63.62,71.94
1012.99,26.86,436.25,50.04,68.08
1009.99,29.64,440.74,51.23,67.79
1015.02,19.92,443.54,82.71,63.31
1010.82,18.5,459.42,92.04,51.43
1009.76,23.71,439.66,90.67,60.23
1023.55,14.39,464.15,91.14,44.84
1020.55,19.3,459.1,70.43,56.65
1014.76,24.65,455.68,66.63,52.36
1015.33,13.5,469.08,86.95,45.51
1007.71,9.82,478.02,96.69,41.26
1017.36,18.4,456.8,70.88,44.06
1009.18,28.12,441.13,47.14,44.89
1017.05,17.15,463.88,63.36,43.69
1006.14,30.69,430.45,60.58,73.67
